film,year,script type,Rotten Tomatoes prcnt,Metacritic prcnt,Average critics prcnt,Rotten Tomatoes Audience prcnt,Metacritic Audience prcnt,Rotten Tomatoes vs Metacritic prcnt deviance,Average audience prcnt,Audience vs Critics deviance prcnt,Genre,Opening Weekend,Opening weekend (million),Domestic Gross,Domestic gross (million),Foreign Gross (million),Foreign Gross,Worldwide Gross,Worldwide Gross (million),prcnt of Gross earned abroad,Budget (million),prcnt Budget recovered,prcnt Budget recovered opening weekend,Oscar Winners,Oscar Detail,link,None
The Girl With The Dragon Tattoo,2011,adaptation,87,71,79,89,80,9,84.5,-5.5,"crime, mystery",12760000,12.76,102060000,102.06,130.101,130101000,"232,161,000",232.16,56.04%,90,257.96%,14.18%,,,http://www.amazon.com/gp/product/B007FH9GT2/?tag=titb-20,1
Rio,2011,original screenplay,71,63,67,73,72,1,72.5,-5.5,"animation, adventure, comedy",39230000,39.23,143620000,143.62,341.02,341020000,"484,640,000",484.64,70.37%,90,538.49%,43.59%,,,http://www.amazon.com/gp/product/B005GIS1WA/,1
Sucker Punch,2011,original screenplay,23,33,28,48,61,-13,54.5,-26.5,"action, fantasy, thriller",19060000,19.06,36390000,36.39,53.4,53400000,"89,790,000",89.79,59.47%,82,109.50%,23.24%,,,http://www.amazon.com/gp/product/B0051OZ564/?tag=titb-20,1
Just Go With It,2011,adaptation,19,33,26,63,64,-1,63.5,-37.5,"comedy, romance",30510000,30.51,103030000,103.03,111.92,111920000,"214,950,000",214.95,52.07%,80,268.69%,38.14%,,,http://www.amazon.com/gp/product/B0051BX8KM/?tag=titb-20,1
Zookeeper,2011,original screenplay,14,30,22,42,42,0,42,-20,"comedy, family, romance",20070000,20.07,80360000,80.36,89.49,89490000,"169,850,000",169.85,52.69%,80,212.31%,25.09%,,,http://www.amazon.com/gp/product/B005SH5K7I/?tag=titb-20,1
The Hangover Part II,2011,sequel,35,44,39.5,58,56,2,57,-17.5,comedy,85950000,85.95,254460000,254.46,332.3,332300000,"586,760,000",586.76,56.63%,80,733.45%,107.44%,,,http://www.amazon.com/gp/product/B005TBN3EU/?tag=titb-20,1
Jack and Jill,2011,original screenplay,4,23,13.5,59,27,32,43,-29.5,comedy,25000000,25.00,74160000,74.16,75.52,75520000,"149,680,000",149.68,50.45%,79,189.47%,31.65%,,,http://www.amazon.com/gp/product/B0075ZCNM6/?tag=titb-20,1
Immortals,2011,adaptation,36,46,41,59,60,-1,59.5,-18.5,"action, fantasy",32210000,32.21,83500000,83.50,143.4,143400000,"226,900,000",226.90,63.20%,75,302.53%,42.95%,,,http://www.amazon.com/gp/product/B0091UA5E6/?tag=titb-20,1
The Three Musketeers,2011,adaptation,24,35,29.5,48,51,-3,49.5,-20,"action, adventure, romance",8670000,8.67,20370000,20.37,111.9,111900000,"132,270,000",132.27,84.60%,75,176.36%,11.56%,,,http://www.amazon.com/gp/product/B007JUWM64/?tag=titb-20,1
Tower Heist,2011,original screenplay,68,59,63.5,61,61,0,61,2.5,"action, comedy, crime",24030000,24.03,78040000,78.04,74.88,74880000,"152,920,000",152.92,48.97%,75,203.89%,32.04%,,,http://www.amazon.com/gp/product/B007BLUD30/?tag=titb-20,1
Killer Elite,2011,adaptation,25,44,34.5,48,57,-9,52.5,-18,"action, crime, thriller",9350000,9.35,25120000,25.12,31.26,31260000,"56,380,000",56.38,55.45%,70,80.54%,13.36%,,,http://www.amazon.com/gp/product/B006TLFIAQ/?tag=titb-20,1
Battle: Los Angeles,2011,based on a true story,35,37,36,50,58,-8,54,-18,"action, adventure, sci-fi",35570000,35.57,83550000,83.55,128.27,128270000,"211,820,000",211.82,60.56%,70,302.60%,50.81%,,,http://www.amazon.com/gp/product/B0051BVQFG/?tag=titb-20,1
The Dilemma,2011,original screenplay,23,46,34.5,31,44,-13,37.5,-3,comedy,17800000,17.80,48480000,48.48,21.25,21250000,"69,730,000",69.73,30.47%,70,99.61%,25.43%,,,http://www.amazon.com/gp/product/B004YJ1MF0/?tag=titb-20,1
War Horse,2011,adaptation,77,72,74.5,73,66,7,69.5,5,war,14520000,14.52,79884000,79.88,97.7,97700000,"177,584,000",177.58,55.02%,66,269.07%,22.00%,,,http://www.amazon.com/gp/product/B007Q476KU/?tag=titb-20,1
Hop,2011,original screenplay,26,41,33.5,50,51,-1,50.5,-17,"animation, comedy, family",37540000,37.54,108090000,108.09,75.87,75870000,"183,960,000",183.96,41.24%,63,292.00%,59.59%,,,http://www.amazon.com/gp/product/B007PKOKTK/?tag=titb-20,1
I Am Number Four,2011,adaptation,32,36,34,57,61,-4,59,-25,"romance, sci-fi",19450000,19.45,55100000,55.10,94.78,94780000,"149,880,000",149.88,63.24%,60,249.80%,32.42%,,,http://www.amazon.com/gp/product/B004Z2TUGE/?tag=titb-20,1
Priest,2011,adaptation,17,41,29,37,50,-13,43.5,-14.5,"action, fantasy, horror",14950000,14.95,29140000,29.14,49.17,49170000,"78,310,000",78.31,62.79%,60,130.52%,24.92%,,,http://www.amazon.com/gp/product/B005BG2FII/?tag=titb-20,1
Contagion,2011,original screenplay,84,70,77,63,64,-1,63.5,13.5,"sci-fi, thriller",22400000,22.40,75660000,75.66,59.8,59800000,"135,460,000",135.46,44.15%,60,225.77%,37.33%,,,http://www.amazon.com/gp/product/B006SV2LWA/?tag=titb-20,1
New Year's Eve,2011,original screenplay,8,22,15,48,47,1,47.5,-32.5,"comedy, romance",13010000,13.01,54540000,54.54,87.5,87500000,"142,040,000",142.04,61.60%,56,253.64%,23.23%,,,http://www.amazon.com/gp/product/B007Z9QA8K/?tag=titb-20,1
Mr. Popper's Penguins,2011,adaptation,47,53,50,54,61,-7,57.5,-7.5,comedy,18450000,18.45,68220000,68.22,119.14,119140000,"187,360,000",187.36,63.59%,55,340.65%,33.55%,,,http://www.amazon.com/gp/product/B006LG7V5O/?tag=titb-20,1
The Change Up,2011,original screenplay,24,39,31.5,53,58,-5,55.5,-24,comedy,13530000,13.53,37080000,37.08,38.37,38370000,"75,450,000",75.45,50.85%,52,145.10%,26.02%,,,http://www.amazon.com/gp/product/B0064J6OMO/?tag=titb-20,1
The Adjustment Bureau,2011,adaptation,72,60,66,67,66,1,66.5,-0.5,"fantasy, romance, thriller",21160000,21.16,62500000,62.50,65.37,65370000,"127,870,000",127.87,51.12%,50.2,254.72%,42.15%,,,http://www.amazon.com/gp/product/B0055OK2T0/?tag=titb-20,1
We Bought a Zoo,2011,adaptation,63,58,60.5,79,69,10,74,-13.5,family,9360000,9.36,75624000,75.62,44.457,44457000,"120,081,000",120.08,37.02%,50,240.16%,18.72%,,,http://www.amazon.com/gp/product/B007R0XM88/?tag=titb-20,1
Moneyball,2011,based on a true story,95,87,91,89,79,10,84,7,"biography, sport",19500000,19.50,75600000,75.60,34.6,34600000,"110,200,000",110.20,31.40%,50,220.40%,39.00%,,,http://www.amazon.com/gp/product/B006IMY5ZU/?tag=titb-20,1
"Crazy, Stupid, Love",2011,original screenplay,78,68,73,81,75,6,78,-5,"comedy, romance",19100000,19.10,84350000,84.35,58.5,58500000,"142,850,000",142.85,40.95%,50,285.70%,38.20%,,,http://www.amazon.com/gp/product/B0060V1WJ6/?tag=titb-20,1
Dream House,2011,original screenplay,7,35,21,38,57,-19,47.5,-26.5,"mystery, thriller",8130000,8.13,21300000,21.30,17.2,17200000,"38,500,000",38.50,44.68%,50,77.00%,16.26%,,,http://www.amazon.com/gp/product/B0070Z97LG/?tag=titb-20,1
Super 8 ,2011,original screenplay,82,72,77,78,73,5,75.5,1.5,"mystery, sci-fi, thriller",35450000,35.45,127000000,127.00,133.09,133090000,"260,090,000",260.09,51.17%,50,520.18%,70.90%,,,http://www.amazon.com/gp/product/B0068TJLSY/?tag=titb-20,1
Your Highness,2011,original screenplay,26,31,28.5,36,49,-13,42.5,-14,"adventure, comedy, fantasy",9360000,9.36,21600000,21.60,3.26,3260000,"24,860,000",24.86,13.11%,49.9,49.82%,18.76%,,,http://www.amazon.com/gp/product/B005BZQTGS/?tag=titb-20,1
The Muppets,2011,adaptation,97,75,86,87,77,10,82,4,"comedy, family, musical",29240000,29.24,88630000,88.63,76.55,76550000,"165,180,000",165.18,46.34%,45,367.07%,64.98%,,,http://www.amazon.com/gp/product/B007C94QRK/?tag=titb-20,1
The Rum Diary,2011,adaptation,50,56,53,48,65,-17,56.5,-3.5,comedy,5140000,5.14,13110000,13.11,10.84,10840000,"23,950,000",23.95,45.26%,45,53.22%,11.42%,,,http://www.amazon.com/gp/product/B006ZEDZNY/?tag=titb-20,1
Drive Angry,2011,original screenplay,45,44,44.5,38,54,-16,46,-1.5,"action, crime, fantasy",5190000,5.19,10720000,10.72,18.21,18210000,"28,930,000",28.93,62.95%,45,64.29%,11.53%,,,http://www.amazon.com/gp/product/B0053EZY04/?tag=titb-20,1
Johnny English Reborn,2011,sequel,38,46,42,55,63,-8,59,-17,"adventure, comedy, crime",3830000,3.83,8310000,8.31,151.77,151770000,"160,080,000",160.08,94.81%,45,355.73%,8.51%,,,http://www.amazon.com/gp/product/B0076R62FM/?tag=titb-20,1
Red Riding Hood,2011,adaptation,11,29,20,41,42,-1,41.5,-21.5,"fantasy, horror, mystery",14010000,14.01,37660000,37.66,51.5,51500000,"89,160,000",89.16,57.76%,42,212.29%,33.36%,,,http://www.amazon.com/gp/product/B0055QL28I/?tag=titb-20,1
Extremely Loud and Incredibly Close,2011,adaptation,47,46,46.5,62,60,2,61,-14.5,"adventure, mystery",10040000,10.04,31847000,31.85,23.4,23400000,"55,247,000",55.25,42.36%,40,138.12%,25.10%,,,http://www.amazon.com/gp/product/B007P3S1AQ/?tag=titb-20,1
Season Of The Witch,2011,adaptation,10,28,19,32,51,-19,41.5,-22.5,"action, adventure, fantasy",10600000,10.60,24830000,24.83,66.8,66800000,"91,630,000",91.63,72.90%,40,229.08%,26.50%,,,http://www.amazon.com/gp/product/B0057UIV9K/?tag=titb-20,1
The Lincoln Lawyer,2011,adaptation,84,63,73.5,82,74,8,78,-4.5,"crime, thriller",13210000,13.21,58010000,58.01,17,17000000,"75,010,000",75.01,22.66%,40,187.53%,33.03%,,,http://www.amazon.com/gp/product/B008Y73940/?tag=titb-20,1
Colombiana,2011,original screenplay,28,45,36.5,55,55,0,55,-18.5,"action, crime, thriller",10410000,10.41,36670000,36.67,24.3,24300000,"60,970,000",60.97,39.86%,40,152.43%,26.03%,,,http://www.amazon.com/gp/product/B006O66EFE/?tag=titb-20,1
In Time,2011,original screenplay,38,53,45.5,55,63,-8,59,-13.5,"action, sci-fi, thriller",12050000,12.05,37520000,37.52,136.41,136410000,"173,930,000",173.93,78.43%,40,434.83%,30.13%,,,http://www.amazon.com/gp/product/B0073PZIYI/?tag=titb-20,1
Paul,2011,original screenplay,72,57,64.5,70,70,0,70,-5.5,"adventure, comedy, sci-fi",13040000,13.04,37410000,37.41,60.57,60570000,"97,980,000",97.98,61.82%,40,244.95%,32.60%,,,http://www.amazon.com/gp/product/B005BZQVJ8/?tag=titb-20,1
The Mechanic,2011,original screenplay,53,49,51,52,61,-9,56.5,-5.5,"action, crime, thriller",11400000,11.40,29120000,29.12,21.95,21950000,"51,070,000",51.07,42.98%,40,127.68%,28.50%,,,http://www.amazon.com/gp/product/B0052OWGYW/?tag=titb-20,1
Arthur,2011,remake / reboot,26,36,31,49,50,-1,49.5,-18.5,"comedy, romance",12220000,12.22,33040000,33.04,12.7,12700000,"45,740,000",45.74,27.77%,40,114.35%,30.55%,,,http://www.amazon.com/gp/product/B0053YIDOS/?tag=titb-20,1
Final Destination 5,2011,sequel,61,50,55.5,56,64,-8,60,-4.5,"horror, thriller",18030000,18.03,42590000,42.59,115.3,115300000,"157,890,000",157.89,73.03%,40,394.73%,45.08%,,,http://www.amazon.com/gp/product/B00HYM5MHI/?tag=titb-20,1
Scream 4,2011,sequel,58,52,55,57,69,-12,63,-8,"horror, mystery",18690000,18.69,38180000,38.18,58.96,58960000,"97,140,000",97.14,60.70%,40,242.85%,46.73%,,,http://www.amazon.com/gp/product/B008W02IWS/?tag=titb-20,1
The Thing,2011,adaptation,36,49,42.5,52,63,-11,57.5,-15,"horror, mystery, sci-fi",8490000,8.49,16930000,16.93,10.5,10500000,"27,430,000",27.43,38.28%,38,72.18%,22.34%,,,http://www.amazon.com/gp/product/B0070Z4M4I/?tag=titb-20,1
Water For Elephants,2011,adaptation,60,52,56,72,70,2,71,-15,romance,16840000,16.84,58710000,58.71,58.39,58390000,"117,100,000",117.10,49.86%,38,308.16%,44.32%,,,http://www.amazon.com/gp/product/B006228KPW/?tag=titb-20,1
Dolphin Tale,2011,adaptation,84,64,74,81,64,17,72.5,1.5,family,19150000,19.15,72290000,72.29,23.12,23120000,"95,410,000",95.41,24.23%,37,257.86%,51.76%,,,http://www.amazon.com/gp/product/B0064J63DY/?tag=titb-20,1
The Rite,2011,adaptation,20,38,29,43,53,-10,48,-19,"horror, thriller",14800000,14.80,33050000,33.05,63,63000000,"96,050,000",96.05,65.59%,37,259.59%,40.00%,,,http://www.amazon.com/gp/product/B00517FG4M/?tag=titb-20,1
Gnomeo and Juliet,2011,original screenplay,56,53,54.5,52,59,-7,55.5,-1,"animation, comedy, family",25360000,25.36,99970000,99.97,94,94000000,"193,970,000",193.97,48.46%,36,538.81%,70.44%,,,http://www.amazon.com/gp/product/B004Z2TUDW/?tag=titb-20,1
Hall Pass,2011,original screenplay,35,45,40,44,55,-11,49.5,-9.5,"comedy, romance",13540000,13.54,45060000,45.06,38.1,38100000,"83,160,000",83.16,45.82%,36,231.00%,37.61%,,,http://www.amazon.com/gp/product/B00505WQ8E/?tag=titb-20,1
Something Borrowed,2011,adaptation,15,36,25.5,48,50,-2,49,-23.5,"comedy, romance",13950000,13.95,39050000,39.05,21.14,21140000,"60,190,000",60.19,35.12%,35,171.97%,39.86%,,,http://www.amazon.com/gp/product/B005BGBP3Y/?tag=titb-20,1
J.Edgar,2011,based on a true story,42,59,50.5,84,65,19,74.5,-24,"biography, crime",11220000,11.22,37310000,37.31,47.3,47300000,"84,610,000",84.61,55.90%,35,241.74%,32.06%,,,http://www.amazon.com/gp/product/B007BLCGNU/?tag=titb-20,1
Abduction,2011,original screenplay,4,25,14.5,46,46,0,46,-31.5,"action, mystery, thriller",10930000,10.93,28090000,28.09,54,54000000,"82,090,000",82.09,65.78%,35,234.54%,31.23%,,,http://www.amazon.com/gp/product/B006P4O5JM/?tag=titb-20,1
Friends With Benefits,2011,original screenplay,71,63,67,68,66,2,67,0,"comedy, romance",18620000,18.62,55800000,55.80,93.74,93740000,"149,540,000",149.54,62.69%,35,427.26%,53.20%,,,http://www.amazon.com/gp/product/B00650SSWG/?tag=titb-20,1
Horrible Bosses,2011,original screenplay,69,57,63,72,71,1,71.5,-8.5,"comedy, crime",28300000,28.30,117540000,117.54,92.1,92100000,"209,640,000",209.64,43.93%,35,598.97%,80.86%,,,http://www.amazon.com/gp/product/B005LJK3AC/?tag=titb-20,1
Bridesmaids,2011,original screenplay,90,75,82.5,77,72,5,74.5,8,"comedy, romance",26250000,26.25,169110000,169.11,119.28,119280000,"288,390,000",288.39,41.36%,32.5,887.35%,80.77%,,,http://www.amazon.com/gp/product/B005KL3QZ0/?tag=titb-20,1
Source Code,2011,original screenplay,92,74,83,81,76,5,78.5,4.5,"mystery, sci-fi, thriller",14810000,14.81,54710000,54.71,92.62,92620000,"147,330,000",147.33,62.87%,32,460.41%,46.28%,,,http://www.amazon.com/gp/product/B0053F042G/?tag=titb-20,1
The Tree Of Life,2011,original screenplay,84,85,84.5,61,66,-5,63.5,21,fantasy,370000,0.37,13300000,13.30,41,41000000,"54,300,000",54.30,75.51%,32,169.69%,1.16%,,,http://www.amazon.com/gp/product/B005UKJX4E/?tag=titb-20,1
Unknown,2011,adaptation,55,56,55.5,57,64,-7,60.5,-5,"action, mystery, thriller",21860000,21.86,63690000,63.69,67.1,67100000,"130,790,000",130.79,51.30%,30,435.97%,72.87%,,,http://www.amazon.com/gp/product/B004ZGI1V0/?tag=titb-20,1
Winnie The Pooh,2011,adaptation,91,74,82.5,79,78,1,78.5,4,"animation, adventure, comedy",7860000,7.86,26690000,26.69,6.46,6460000,"33,150,000",33.15,19.49%,30,110.50%,26.20%,,,http://www.amazon.com/gp/product/B005ZB8ZHY/?tag=titb-20,1
Anonymous,2011,original screenplay,46,50,48,66,62,4,64,-16,"history, thriller",1020000,1.02,4460000,4.46,10.93,10930000,"15,390,000",15.39,71.02%,30,51.30%,3.40%,,,http://www.amazon.com/gp/product/B0076D21O2/?tag=titb-20,1
Hanna,2011,original screenplay,71,65,68,67,70,-3,68.5,-0.5,"action, adventure, thriller",12370000,12.37,40260000,40.26,23.52,23520000,"63,780,000",63.78,36.88%,30,212.60%,41.23%,,,http://www.amazon.com/gp/product/B005KAH7QU/?tag=titb-20,1
Larry Crowne,2011,original screenplay,34,41,37.5,46,58,-12,52,-14.5,"comedy, romance",13100000,13.10,35610000,35.61,36.4,36400000,"72,010,000",72.01,50.55%,30,240.03%,43.67%,,,http://www.amazon.com/gp/product/B0067XLIG4/?tag=titb-20,1
Sanctum,2011,original screenplay,30,42,36,39,50,-11,44.5,-8.5,"adventure, thriller",9400000,9.40,23210000,23.21,85.4,85400000,"108,610,000",108.61,78.63%,30,362.03%,31.33%,,,http://www.amazon.com/gp/product/B0054IOWTS/?tag=titb-20,1
Fright Night,2011,remake / reboot,75,64,69.5,68,68,0,68,1.5,"comedy, horror",7710000,7.71,18300000,18.30,22.7,22700000,"41,000,000",41.00,55.37%,30,136.67%,25.70%,,,http://www.amazon.com/gp/product/B0094M2TB8/?tag=titb-20,1
30 Minutes or Less,2011,original screenplay,43,49,46,48,56,-8,52,-6,"action, comedy, crime",13330000,13.33,37050000,37.05,3.49,3490000,"40,540,000",40.54,8.61%,28,144.79%,47.61%,,,http://www.amazon.com/gp/product/B0062KJ1Q6/?tag=titb-20,1
Limitless,2011,adaptation,69,59,64,73,72,1,72.5,-8.5,"mystery, sci-fi, thriller",18910000,18.91,79250000,79.25,82.6,82600000,"161,850,000",161.85,51.03%,27,599.44%,70.04%,,,http://www.amazon.com/gp/product/B005DD7TI0/?tag=titb-20,1
Spy Kids: All The Time in the World,2011,sequel,22,37,29.5,40,24,16,32,-2.5,"action, adventure, comedy",11640000,11.64,38540000,38.54,47.03,47030000,"85,570,000",85.57,54.96%,27,316.93%,43.11%,,,http://www.amazon.com/gp/product/B006BQFETE/?tag=titb-20,1
The Eagle,2011,adaptation,39,55,47,43,60,-17,51.5,-4.5,adventure ,8680000,8.68,19490000,19.49,7.63,7630000,"27,120,000",27.12,28.13%,25,108.48%,34.72%,,,http://www.amazon.com/gp/product/B0055OKKBA/?tag=titb-2,1
No Strings Attached,2011,original screenplay,49,50,49.5,57,54,3,55.5,-6,"comedy, romance",19700000,19.70,70660000,70.66,78.57,78570000,"149,230,000",149.23,52.65%,25,596.92%,78.80%,,,http://www.amazon.com/gp/product/B00503BN1M/?tag=titb-20,1
Shark Night 3D,2011,original screenplay,16,22,19,25,45,-20,35,-16,"horror, thriller",8400000,8.40,18880000,18.88,21.26,21260000,"40,140,000",40.14,52.96%,25,160.56%,33.60%,,,http://www.amazon.com/gp/product/B006SV89YO/?tag=titb-20,1
Take Me Home Tonight,2011,original screenplay,28,42,35,46,62,-16,54,-19,"comedy, romance",3460000,3.46,6930000,6.93,0.6,600000,"7,530,000",7.53,7.97%,25,30.12%,13.84%,,,http://www.amazon.com/gp/product/B005DD7CKU/?tag=titb-20,1
The Conspirator,2011,original screenplay,56,55,55.5,65,68,-3,66.5,-11,"crime, history",3510000,3.51,11540000,11.54,3.94,3940000,"15,480,000",15.48,25.45%,25,61.92%,14.04%,,,http://www.amazon.com/gp/product/B005HGKW00/?tag=titb-20,1
The Sitter,2011,original screenplay,22,39,30.5,43,52,-9,47.5,-17,comedy,9850000,9.85,30441000,30.44,4.5,4500000,"34,941,000",34.94,12.88%,25,139.76%,39.40%,,,http://www.amazon.com/gp/product/B007MJSOO6/?tag=titb-20,1
Warrior,2011,original screenplay,83,71,77,93,84,9,88.5,-11.5,sport,5240000,5.24,13660000,13.66,9.4,9400000,"23,060,000",23.06,40.76%,25,92.24%,20.96%,,,http://www.amazon.com/gp/product/B006O5YHUY/?tag=titb-20,1
Don't Be Afraid Of The Dark,2011,remake / reboot,59,56,57.5,37,54,-17,45.5,12,"fantasy, horror, thriller",8530000,8.53,24050000,24.05,12.95,12950000,"37,000,000",37.00,35.00%,25,148.00%,34.12%,,,http://www.amazon.com/gp/product/B006REBZOS/?tag=titb-20,1
Footloose,2011,remake / reboot,71,58,64.5,71,58,13,64.5,0,"comedy, music, romance",15560000,15.56,51800000,51.80,11.74,11740000,"63,540,000",63.54,18.48%,24,264.75%,64.83%,,,http://www.amazon.com/gp/product/B007HJ91HU/?tag=titb-20,1
Tinker Tailor Soldier Spy,2011,adaptation,83,85,84,68,65,3,66.5,17.5,"mystery, thriller",5470000,5.47,24149000,24.15,56.481,56481000,"80,630,000",80.63,70.05%,21,383.95%,26.05%,,,http://www.amazon.com/gp/product/B007BVOF8E/?tag=titb-20,1
The Beaver,2011,original screenplay,62,60,61,57,64,-7,60.5,0.5,drama,110000,0.11,970000,0.97,5.4,5400000,"6,370,000",6.37,84.77%,21,30.33%,0.52%,,,http://www.amazon.com/gp/product/B005GH8U0E/?tag=titb-20,1
Diary of a Wimpy Kid 2: Rodrick Rules,2011,sequel,47,51,49,63,72,-9,67.5,-18.5,"comedy, family",23750000,23.75,52700000,52.70,19.72,19720000,"72,420,000",72.42,27.23%,21,344.86%,113.10%,,,http://www.amazon.com/gp/product/B00574P9EQ/?tag=titb-20,1
A Dangerous Method,2011,adaptation,79,76,77.5,89,62,27,75.5,2,"biography, thriller",170000,0.17,5700000,5.70,21.76,21760000,"27,460,000",27.46,79.24%,20,137.30%,0.85%,,,http://www.amazon.com/gp/product/B007OUFESC/?tag=titb-20,1
Dylan Dog: Dead of Night,2011,adaptation,6,31,18.5,28,55,-27,41.5,-23,"comedy, horror, mystery",750000,0.75,1190000,1.19,3.45,3450000,"4,640,000",4.64,74.35%,20,23.20%,3.75%,,,http://www.amazon.com/gp/product/B005EJN5B8/?tag=titb-20,1
Jane Eyre,2011,adaptation,85,76,80.5,77,71,6,74,6.5,romance,180000,0.18,11240000,11.24,23.47,23470000,"34,710,000",34.71,67.62%,20,173.55%,0.90%,,,http://www.amazon.com/gp/product/B0057F869U/?tag=titb-20,1
What's Your Number,2011,adaptation,24,35,29.5,50,52,-2,51,-21.5,"comedy, romance",5420000,5.42,14010000,14.01,16.42,16420000,"30,430,000",30.43,53.96%,20,152.15%,27.10%,,,http://www.amazon.com/gp/product/B006VRZ5YM/?tag=titb-20,1
Bad Teacher,2011,original screenplay,44,47,45.5,38,51,-13,44.5,1,comedy,31600000,31.60,100290000,100.29,115.9,115900000,"216,190,000",216.19,53.61%,20,1080.95%,158.00%,,,http://www.amazon.com/gp/product/B005W8SNNG/?tag=titb-20,1
Monte Carlo,2011,original screenplay,38,43,40.5,50,58,-8,54,-13.5,"adventure, comedy, romance",7450000,7.45,23190000,23.19,16.48,16480000,"39,670,000",39.67,41.54%,20,198.35%,37.25%,,,http://www.amazon.com/gp/product/B005WQ3F2C/?tag=titb-20,1
The Debt,2011,remake / reboot,76,65,70.5,70,66,4,68,2.5,thriller,9910000,9.91,31180000,31.18,14.46,14460000,"45,640,000",45.64,31.68%,20,228.20%,49.55%,,,http://www.amazon.com/gp/product/B006INDMEE/?tag=titb-20,1
A Very Harold and Kumar 3D Christmas,2011,sequel,72,61,66.5,71,66,5,68.5,-2,comedy,12950000,12.95,35060000,35.06,0.33,330000,"35,390,000",35.39,0.93%,19,186.26%,68.16%,,,http://www.amazon.com/gp/product/B006PPW98U/?tag=titb-20,1
Soul Surfer,2011,adaptation,46,53,49.5,79,71,8,75,-25.5,"biography, sport",10600000,10.60,43850000,43.85,3.24,3240000,"47,090,000",47.09,6.88%,18,261.61%,58.89%,,,http://www.amazon.com/gp/product/B0055PMUSU/?tag=titb-20,1
Beastly,2011,adaptation,19,40,29.5,50,54,-4,52,-22.5,"fantasy, romance",9850000,9.85,27870000,27.87,15.3,15300000,"43,170,000",43.17,35.44%,17,253.94%,57.94%,,,http://www.amazon.com/gp/product/B0094LYJZI/?tag=titb-20,1
The Roommate,2011,original screenplay,4,23,13.5,29,39,-10,34,-20.5,"horror, thriller",15000000,15.00,37300000,37.30,3.19,3190000,"40,490,000",40.49,7.88%,16,253.06%,93.75%,,,http://www.amazon.com/gp/product/B004XWLI4I/?tag=titb-20,1
Drive,2011,adaptation,93,78,85.5,79,77,2,78,7.5,crime,11340000,11.34,35060000,35.06,41.11,41110000,"76,170,000",76.17,53.97%,15,507.80%,75.60%,,,http://www.amazon.com/gp/product/B006W0QR1S/?tag=titb-20,1
One Day,2011,adaptation,37,48,42.5,54,55,-1,54.5,-12,romance,5080000,5.08,13840000,13.84,45.55,45550000,"59,390,000",59.39,76.70%,15,395.93%,33.87%,,,http://www.amazon.com/gp/product/B005TPCQ5I/?tag=titb-20,1
The Company Men,2011,original screenplay,66,69,67.5,55,64,-9,59.5,8,drama,640000,0.64,4440000,4.44,0.44,440000,"4,880,000",4.88,9.02%,15,32.53%,4.27%,,,http://www.amazon.com/gp/product/B0054NQZ9S/?tag=titb-20,1
The Ides of March,2011,adaptation,85,67,76,76,71,5,73.5,2.5,drama,10470000,10.47,40960000,40.96,35.03,35030000,"75,990,000",75.99,46.10%,12.5,607.92%,83.76%,,,http://www.amazon.com/gp/product/B006X4MW30/?tag=titb-20,1
My Week with Marilyn,2011,based on a true story,83,65,74,84,73,11,78.5,-4.5,biography  ,1750000,1.75,14600000,14.60,20.46,20460000,"35,060,000",35.06,58.36%,10,350.60%,17.50%,,,http://www.amazon.com/gp/product/B007JRUA7K/?tag=titb-20,1
Cedar Rapids,2011,original screenplay,86,70,78,61,70,-9,65.5,12.5,comedy,300000,0.30,6860000,6.86,0,0,"6,860,000",6.86,0.00%,10,68.60%,3.00%,,,http://www.amazon.com/gp/product/B00574SQ6E/?tag=titb-20,1
50/50,2011,based on a true story,93,72,82.5,93,81,12,87,-4.5,comedy,8640000,8.64,35010000,35.01,4.17,4170000,"39,180,000",39.18,10.64%,8,489.75%,108.00%,,,http://www.amazon.com/gp/product/B00715S5Z4/?tag=titb-20,1
Shame,2011,original screenplay,80,72,76,80,79,1,79.5,-3.5,drama,340000,0.34,3090000,3.09,13.784,13784000,"16,874,000",16.87,81.69%,6.5,259.60%,5.23%,,,http://www.amazon.com/gp/product/B007UXT6O6/?tag=titb-20,1
Everything Must Go,2011,adaptation,74,65,69.5,53,65,-12,59,10.5,comedy,790000,0.79,2710000,2.71,0.1,100000,"2,810,000",2.81,3.56%,5,56.20%,15.80%,,,http://www.amazon.com/gp/product/B008Y7I2AQ/?tag=titb-20,1
Apollo 18,2011,original screenplay,23,24,23.5,31,47,-16,39,-15.5,"horror, sci-fi, thriller",8700000,8.70,17690000,17.69,7.88,7880000,"25,570,000",25.57,30.82%,5,511.40%,174.00%,,,http://www.amazon.com/gp/product/B006QPVGKG/?tag=titb-20,1
Our Idiot Brother,2011,original screenplay,68,60,64,79,65,14,72,-8,comedy,7010000,7.01,24820000,24.82,1,1000000,"25,820,000",25.82,3.87%,5,516.40%,140.20%,,,http://www.amazon.com/gp/product/B006FTCBF2/?tag=titb-20,1
Take Shelter,2011,original screenplay,92,85,88.5,85,77,8,81,7.5,thriller,50000,0.05,1730000,1.73,1.4,1400000,"3,130,000",3.13,44.73%,5,62.60%,1.00%,,,http://www.amazon.com/gp/product/B0078YXF4Y/?tag=titb-20,1
